model	sample_id	image_id	t_star	t_bad
blip2	27	1	1	14
blip2	27	1	1	15
blip2	27	1	1	16
blip2	27	1	1	17
blip2	27	2	4	6
blip2	27	2	4	7
blip2	27	2	4	8
blip2	27	2	4	9
blip2	27	2	4	10
blip2	27	2	4	11
blip2	27	2	4	12
blip2	27	2	4	14
blip2	27	2	4	15
blip2	27	2	4	16
blip2	27	2	4	17
blip2	28	1	1	2
blip2	28	1	1	3
blip2	28	1	1	16
blip2	28	1	1	20
blip2	28	2	4	6
blip2	28	2	4	17
blip2	28	2	4	18
blip2	28	3	7	16
blip2	28	3	7	18
blip2	28	3	7	19
blip2	28	4	11	12
blip2	28	4	11	17
blip2	28	4	11	18
blip2	28	4	11	19
blip2	28	5	14	17
blip2	28	5	14	19
blip2	28	5	14	20
blip2	29	1	3	6
blip2	29	1	3	8
blip2	29	1	3	9
blip2	29	1	3	10
blip2	29	2	3	6
blip2	29	2	3	8
blip2	29	2	3	9
blip2	29	2	3	10
blip2	30	1	8	10
blip2	30	1	8	11
blip2	30	1	8	12
blip2	30	2	4	8
blip2	30	2	4	9
blip2	30	2	4	11
blip2	30	2	4	12
blip2	30	2	4	13
blip2	30	3	6	7
blip2	30	3	6	8
blip2	30	3	6	9
blip2	30	3	6	10
blip2	30	3	6	12
blip2	30	3	6	13
blip2	31	1	13	16
blip2	31	2	2	14
blip2	31	3	4	15
blip2	31	3	4	16
blip2	31	3	4	17
blip2	31	4	9	15
blip2	31	4	9	17
blip2	31	5	10	11
blip2	31	5	10	13
blip2	31	5	10	14
blip2	31	5	10	15
blip2	31	5	10	16
blip2	32	1	1	3
blip2	32	1	1	16
blip2	32	1	1	19
blip2	32	2	5	16
blip2	32	2	5	17
blip2	32	3	8	17
blip2	32	3	8	19
blip2	32	3	8	20
blip2	32	4	10	11
blip2	32	4	10	17
blip2	32	4	10	20
blip2	32	5	15	16
blip2	32	5	15	19
blip2	32	5	15	20
blip2	33	1	13	14
blip2	33	1	13	16
blip2	33	1	13	17
blip2	33	1	13	18
blip2	33	1	13	20
blip2	33	2	13	15
blip2	33	2	13	16
blip2	33	2	13	17
blip2	33	2	13	18
blip2	33	2	13	19
blip2	33	3	7	8
blip2	33	3	7	9
blip2	33	3	7	13
blip2	33	3	7	15
blip2	33	3	7	16
blip2	33	3	7	18
blip2	33	3	7	19
blip2	33	4	10	11
blip2	33	4	10	13
blip2	33	4	10	14
blip2	33	4	10	15
blip2	33	4	10	16
blip2	33	4	10	18
blip2	33	4	10	20
blip2	34	1	1	2
blip2	34	1	1	3
blip2	34	1	1	4
blip2	34	1	1	5
blip2	34	1	1	6
blip2	34	1	1	7
blip2	34	1	1	8
