model	sample_id	image_id	turn	delta	ok
blip2	37	1	15	14	0
blip2	37	1	16	15	0
blip2	37	1	17	16	0
blip2	37	1	18	17	0
blip2	37	1	19	18	0
blip2	37	1	20	19	0
blip2	38	1	1	0	0
blip2	38	1	2	1	0
blip2	38	1	3	2	0
blip2	38	1	4	3	1
blip2	38	1	5	4	0
blip2	38	1	6	5	0
blip2	38	1	7	6	0
blip2	38	1	8	7	0
blip2	38	1	9	8	0
blip2	38	1	10	9	0
blip2	39	1	1	0	1
blip2	39	1	2	1	0
blip2	39	1	3	2	0
blip2	39	1	4	3	0
blip2	39	1	5	4	1
blip2	39	1	6	5	1
blip2	39	1	7	6	1
blip2	39	1	8	7	0
blip2	39	1	9	8	1
blip2	39	1	10	9	1
blip2	39	1	11	10	0
blip2	39	1	12	11	1
blip2	39	1	13	12	0
blip2	39	1	14	13	0
blip2	39	1	15	14	0
blip2	39	1	16	15	0
blip2	39	1	17	16	1
blip2	39	1	18	17	1
blip2	39	1	19	18	0
blip2	39	1	20	19	0
blip2	40	1	1	0	0
blip2	40	1	2	1	0
blip2	40	1	3	2	1
blip2	40	1	4	3	0
blip2	40	1	5	4	0
blip2	40	1	6	5	0
blip2	40	1	7	6	0
blip2	40	1	8	7	0
blip2	40	1	9	8	0
blip2	40	1	10	9	0
blip2	40	1	11	10	0
blip2	40	1	12	11	1
blip2	40	1	13	12	1
blip2	40	1	14	13	1
blip2	40	1	15	14	0
blip2	40	1	16	15	0
blip2	40	1	17	16	0
blip2	40	1	18	17	1
blip2	40	1	19	18	0
blip2	40	1	20	19	0
blip2	41	1	1	0	0
blip2	41	1	2	1	1
blip2	41	1	3	2	0
blip2	41	1	4	3	0
blip2	41	1	5	4	1
blip2	41	1	6	5	0
blip2	41	1	7	6	0
blip2	41	1	8	7	0
blip2	41	1	9	8	0
blip2	41	1	10	9	0
blip2	41	1	11	10	0
blip2	41	1	12	11	0
blip2	41	1	13	12	0
blip2	41	1	14	13	1
blip2	41	1	15	14	0
blip2	41	1	16	15	0
blip2	42	1	1	0	0
blip2	42	1	2	1	0
blip2	42	1	3	2	0
blip2	42	1	4	3	1
blip2	42	1	5	4	0
blip2	42	1	6	5	1
blip2	42	1	7	6	0
blip2	42	1	8	7	0
blip2	42	1	9	8	0
blip2	42	1	10	9	1
blip2	42	1	11	10	0
blip2	42	1	12	11	0
blip2	42	1	13	12	0
blip2	42	1	14	13	1
blip2	42	1	15	14	0
blip2	42	1	16	15	0
blip2	42	1	17	16	0
blip2	42	1	18	17	0
blip2	42	1	19	18	0
blip2	43	1	1	0	0
blip2	43	1	2	1	1
blip2	43	1	3	2	0
blip2	43	1	4	3	0
blip2	43	1	5	4	0
blip2	43	1	6	5	0
blip2	43	1	7	6	0
blip2	43	1	8	7	0
blip2	43	1	9	8	1
